ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
1.0,0.79,0.45,-0.16,0.4,0.52,0.02,-0.25,0.49,0.36,0.67,0.31,0.55,0.68,0.47,0.32,0.38,0.29,-0.05,-0.2,0.63,0.4,-0.05,0.37,0.15,0.22,-0.06,0.37,0.03,0.74,0.35,0.52,0.39,0.58,0.62,0.56,0.8,0.25,0.61,0.34,0.42,0.71,0.71,0.67,0.5,0.18,0.34,0.3,0.45,0.5
0.79,1.0,0.74,-0.22,0.7,0.85,0.18,-0.28,0.88,0.78,0.91,0.67,0.86,0.94,0.8,0.75,0.83,0.52,0.27,0.15,0.9,0.74,0.27,0.8,-0.25,0.55,0.33,0.71,0.03,0.79,0.78,0.77,0.21,0.9,0.91,0.93,0.86,0.62,0.91,0.75,0.78,0.75,0.89,0.8,0.78,0.61,0.02,0.73,0.8,0.74
0.45,0.74,1.0,-0.12,0.49,0.86,0.53,-0.19,0.68,0.84,0.82,0.71,0.86,0.72,0.83,0.63,0.76,0.9,0.41,0.52,0.74,0.63,0.44,0.82,-0.54,0.85,0.56,0.75,0.19,0.59,0.72,0.5,-0.03,0.86,0.73,0.77,0.51,0.79,0.66,0.89,0.94,0.54,0.57,0.39,0.83,0.85,0.09,0.86,0.77,0.88
-0.16,-0.22,-0.12,1.0,0.06,-0.12,0.49,0.64,-0.22,-0.14,-0.23,0.32,-0.16,-0.16,-0.02,-0.13,-0.09,-0.03,0.32,0.4,-0.08,-0.03,0.62,-0.18,0.45,0.15,0.48,-0.02,0.6,-0.1,-0.18,-0.28,0.43,-0.1,-0.21,-0.24,-0.19,0.28,-0.43,0.02,-0.18,0.07,-0.22,-0.35,0.0,0.0,0.45,-0.05,0.1,-0.21
0.4,0.7,0.49,0.06,1.0,0.67,0.31,0.1,0.83,0.72,0.57,0.75,0.61,0.66,0.57,0.8,0.82,0.32,0.64,0.25,0.79,0.79,0.52,0.78,-0.24,0.48,0.46,0.77,0.24,0.54,0.8,0.54,0.21,0.7,0.57,0.77,0.55,0.53,0.71,0.69,0.52,0.39,0.48,0.64,0.5,0.64,-0.2,0.68,0.83,0.59
0.52,0.85,0.86,-0.12,0.67,1.0,0.53,-0.08,0.84,0.95,0.9,0.79,0.94,0.86,0.8,0.8,0.88,0.69,0.43,0.39,0.91,0.83,0.47,0.91,-0.41,0.7,0.54,0.86,0.12,0.66,0.89,0.77,0.14,0.94,0.8,0.91,0.64,0.79,0.81,0.93,0.93,0.61,0.72,0.68,0.79,0.78,0.03,0.93,0.81,0.77
0.02,0.18,0.53,0.49,0.31,0.53,1.0,0.54,0.22,0.51,0.31,0.62,0.4,0.19,0.36,0.33,0.42,0.57,0.57,0.7,0.33,0.44,0.65,0.48,-0.16,0.59,0.7,0.59,0.52,0.25,0.38,0.17,0.17,0.47,0.14,0.27,-0.03,0.7,0.08,0.63,0.52,0.15,0.02,0.01,0.4,0.56,0.33,0.58,0.45,0.37
-0.25,-0.28,-0.19,0.64,0.1,-0.08,0.54,1.0,-0.17,-0.09,-0.37,0.14,-0.22,-0.32,-0.29,-0.08,-0.1,-0.16,0.4,0.24,-0.13,0.05,0.35,-0.12,0.36,-0.1,0.31,0.08,0.54,-0.05,-0.1,-0.18,0.31,-0.17,-0.38,-0.27,-0.28,0.05,-0.38,0.01,-0.23,-0.2,-0.37,-0.16,-0.27,-0.07,0.29,-0.07,0.02,-0.28
0.49,0.88,0.68,-0.22,0.83,0.84,0.22,-0.17,1.0,0.89,0.8,0.76,0.83,0.87,0.74,0.92,0.94,0.47,0.52,0.29,0.88,0.88,0.41,0.89,-0.47,0.57,0.48,0.85,0.06,0.65,0.95,0.74,0.0,0.89,0.81,0.95,0.65,0.63,0.91,0.81,0.76,0.49,0.7,0.77,0.66,0.75,-0.3,0.83,0.87,0.69
0.36,0.78,0.84,-0.14,0.72,0.95,0.51,-0.09,0.89,1.0,0.83,0.83,0.88,0.8,0.77,0.88,0.93,0.69,0.58,0.5,0.86,0.89,0.52,0.96,-0.6,0.74,0.63,0.91,0.12,0.57,0.95,0.69,-0.08,0.94,0.75,0.91,0.48,0.78,0.8,0.95,0.92,0.44,0.58,0.61,0.72,0.89,-0.18,0.97,0.84,0.76
