Ticker,year_month,first,last,monthly_return,Type
TRENT,2023-11,2197.65,2787.0,26.82,Top Gainer
HEROMOTOCO,2023-11,3092.45,3819.05,23.5,Top Gainer
BPCL,2023-11,178.45,217.85,22.08,Top Gainer
EICHERMOT,2023-11,3282.25,3896.9,18.73,Top Gainer
APOLLOHOSP,2023-11,4796.55,5528.95,15.27,Top Gainer
BAJFINANCE,2023-11,7471.9,7121.9,-4.68,Top Loser
SBIN,2023-11,566.4,564.75,-0.29,Top Loser
CIPLA,2023-11,1201.25,1212.3,0.92,Top Loser
NESTLEIND,2023-11,2387.27,2423.61,1.52,Top Loser
ITC,2023-11,428.1,435.8,1.8,Top Loser
BEL,2023-12,147.45,184.2,24.92,Top Gainer
ADANIPORTS,2023-12,827.8,1024.35,23.74,Top Gainer
ADANIENT,2023-12,2362.7,2848.95,20.58,Top Gainer
HINDALCO,2023-12,517.2,614.85,18.88,Top Gainer
ULTRACEMCO,2023-12,9033.85,10503.0,16.26,Top Gainer
HDFCLIFE,2023-12,682.15,646.7,-5.2,Top Loser
MARUTI,2023-12,10585.7,10302.3,-2.68,Top Loser
AXISBANK,2023-12,1104.65,1102.3,-0.21,Top Loser
BAJAJFINSV,2023-12,1685.95,1685.8,-0.01,Top Loser
SBILIFE,2023-12,1423.65,1432.6,0.63,Top Loser
ONGC,2024-01,205.35,252.25,22.84,Top Gainer
SHRIRAMFIN,2024-01,2048.85,2466.8,20.4,Top Gainer
BHARTIARTL,2024-01,1013.05,1170.7,15.56,Top Gainer
ADANIPORTS,2024-01,1047.85,1207.65,15.25,Top Gainer
BAJAJ-AUTO,2024-01,6701.1,7667.55,14.42,Top Gainer
HDFCBANK,2024-01,1698.1,1462.55,-13.87,Top Loser
ASIANPAINT,2024-01,3396.1,2957.85,-12.9,Top Loser
HDFCLIFE,2024-01,648.7,576.6,-11.11,Top Loser
NESTLEIND,2024-01,2737.24,2506.0,-8.45,Top Loser
JSWSTEEL,2024-01,877.6,818.65,-6.72,Top Loser
TRENT,2024-02,3102.8,3881.8,25.11,Top Gainer
BPCL,2024-02,254.23,301.93,18.76,Top Gainer
M&M,2024-02,1651.15,1932.4,17.03,Top Gainer
SBIN,2024-02,647.65,748.1,15.51,Top Gainer
SUNPHARMA,2024-02,1407.95,1577.95,12.07,Top Gainer
HINDALCO,2024-02,571.25,503.85,-11.8,Top Loser
ITC,2024-02,442.9,406.3,-8.26,Top Loser
KOTAKBANK,2024-02,1822.75,1689.45,-7.31,Top Loser
INDUSINDBK,2024-02,1541.15,1474.9,-4.3,Top Loser
HDFCBANK,2024-02,1466.35,1403.4,-4.29,Top Loser
BAJAJ-AUTO,2024-03,8040.05,9148.15,13.78,Top Gainer
BAJFINANCE,2024-03,6571.45,7245.25,10.25,Top Gainer
BHARTIARTL,2024-03,1128.7,1228.6,8.85,Top Gainer
MARUTI,2024-03,11620.95,12600.35,8.43,Top Gainer
HINDALCO,2024-03,519.1,560.25,7.93,Top Gainer
INFY,2024-03,1654.7,1498.05,-9.47,Top Loser
TATACONSUM,2024-03,1186.26,1082.74,-8.73,Top Loser
WIPRO,2024-03,519.1,480.1,-7.51,Top Loser
HCLTECH,2024-03,1644.1,1543.55,-6.12,Top Loser
HINDUNILVR,2024-03,2409.7,2264.35,-6.03,Top Loser
EICHERMOT,2024-04,3946.65,4597.4,16.49,Top Gainer
TRENT,2024-04,3886.8,4409.9,13.46,Top Gainer
HINDALCO,2024-04,568.6,644.4,13.33,Top Gainer
M&M,2024-04,1915.95,2156.35,12.55,Top Gainer
BEL,2024-04,211.1,233.75,10.73,Top Gainer
HCLTECH,2024-04,1556.7,1366.6,-12.21,Top Loser
KOTAKBANK,2024-04,1790.7,1623.95,-9.31,Top Loser
HDFCLIFE,2024-04,634.75,583.65,-8.05,Top Loser
APOLLOHOSP,2024-04,6457.25,5947.1,-7.9,Top Loser
SUNPHARMA,2024-04,1629.25,1502.1,-7.8,Top Loser
BEL,2024-05,234.75,295.95,26.07,Top Gainer
M&M,2024-05,2185.15,2506.25,14.69,Top Gainer
HEROMOTOCO,2024-05,4561.5,5119.6,12.24,Top Gainer
ADANIENT,2024-05,3039.6,3411.35,12.23,Top Gainer
BRITANNIA,2024-05,4759.65,5179.8,8.83,Top Gainer
TATAMOTORS,2024-05,1027.8,923.0,-10.2,Top Loser
TITAN,2024-05,3568.45,3241.9,-9.15,Top Loser
SHRIRAMFIN,2024-05,2582.1,2354.05,-8.83,Top Loser
DRREDDY,2024-05,1257.5,1158.37,-7.88,Top Loser
ONGC,2024-05,282.8,264.35,-6.52,Top Loser
TRENT,2024-06,4662.2,5479.85,17.54,Top Gainer
SHRIRAMFIN,2024-06,2509.15,2911.5,16.04,Top Gainer
WIPRO,2024-06,444.1,514.85,15.93,Top Gainer
TECHM,2024-06,1245.35,1430.35,14.86,Top Gainer
GRASIM,2024-06,2368.8,2670.45,12.73,Top Gainer
ADANIENT,2024-06,3645.25,3177.15,-12.84,Top Loser
LT,2024-06,3897.15,3548.45,-8.95,Top Loser
BPCL,2024-06,333.08,303.95,-8.75,Top Loser
COALINDIA,2024-06,512.35,473.15,-7.65,Top Loser
ADANIPORTS,2024-06,1583.95,1478.1,-6.68,Top Loser
ONGC,2024-07,272.95,334.2,22.44,Top Gainer
HDFCLIFE,2024-07,600.75,715.5,19.1,Top Gainer
INFY,2024-07,1590.8,1868.25,17.44,Top Gainer
SBILIFE,2024-07,1501.85,1753.65,16.77,Top Gainer
ITC,2024-07,429.05,495.35,15.45,Top Gainer
AXISBANK,2024-07,1261.9,1166.1,-7.59,Top Loser
BAJFINANCE,2024-07,7276.75,6806.95,-6.46,Top Loser
HDFCBANK,2024-07,1705.2,1615.75,-5.25,Top Loser
TATASTEEL,2024-07,174.07,165.33,-5.02,Top Loser
NESTLEIND,2024-07,2568.1,2456.35,-4.35,Top Loser
TRENT,2024-08,5770.8,7158.75,24.05,Top Gainer
BAJAJ-AUTO,2024-08,9730.5,10891.55,11.93,Top Gainer
BAJAJFINSV,2024-08,1634.8,1783.05,9.07,Top Gainer
SHRIRAMFIN,2024-08,2989.25,3204.5,7.2,Top Gainer
CIPLA,2024-08,1546.2,1654.9,7.03,Top Gainer
MARUTI,2024-08,13359.05,12403.0,-7.16,Top Loser
ADANIPORTS,2024-08,1590.15,1481.9,-6.81,Top Loser
POWERGRID,2024-08,361.1,337.4,-6.56,Top Loser
TATASTEEL,2024-08,163.06,152.76,-6.32,Top Loser
ADANIENT,2024-08,3217.25,3019.35,-6.15,Top Loser
M&M,2024-09,2777.0,3094.9,11.45,Top Gainer
BAJAJ-AUTO,2024-09,11126.1,12345.95,10.96,Top Gainer
SHRIRAMFIN,2024-09,3225.25,3576.95,10.9,Top Gainer
HINDALCO,2024-09,683.9,756.2,10.57,Top Gainer
TATASTEEL,2024-09,152.88,168.55,10.25,Top Gainer
TATAMOTORS,2024-09,1092.65,974.65,-10.8,Top Loser
ONGC,2024-09,326.2,297.6,-8.77,Top Loser
TCS,2024-09,4521.05,4268.5,-5.59,Top Loser
INFY,2024-09,1964.5,1875.6,-4.53,Top Loser
TECHM,2024-09,1646.65,1577.2,-4.22,Top Loser
SBIN,2024-10,796.95,820.2,2.92,Top Gainer
HDFCLIFE,2024-10,710.2,720.15,1.4,Top Gainer
ICICIBANK,2024-10,1274.4,1292.25,1.4,Top Gainer
WIPRO,2024-10,546.75,551.8,0.92,Top Gainer
HDFCBANK,2024-10,1726.2,1735.7,0.55,Top Gainer
INDUSINDBK,2024-10,1409.7,1055.6,-25.12,Top Loser
BAJAJ-AUTO,2024-10,12157.45,9836.3,-19.09,Top Loser
NESTLEIND,2024-10,2707.05,2262.95,-16.41,Top Loser
TATACONSUM,2024-10,1196.25,1002.55,-16.19,Top Loser
MARUTI,2024-10,13166.0,11076.45,-15.87,Top Loser
