Ticker,Compared_To,Correlation
ADANIENT,ADANIENT,1.0
ADANIPORTS,ADANIENT,0.88
APOLLOHOSP,ADANIENT,0.13
ASIANPAINT,ADANIENT,0.28
AXISBANK,ADANIENT,0.31
BAJAJ-AUTO,ADANIENT,0.2
BAJAJFINSV,ADANIENT,0.37
BAJFINANCE,ADANIENT,0.34
BEL,ADANIENT,0.52
BHARTIARTL,ADANIENT,0.27
BPCL,ADANIENT,0.46
BRITANNIA,ADANIENT,0.12
CIPLA,ADANIENT,0.09
COALINDIA,ADANIENT,0.5
DRREDDY,ADANIENT,0.17
EICHERMOT,ADANIENT,0.32
GRASIM,ADANIENT,0.34
HCLTECH,ADANIENT,0.13
HDFCBANK,ADANIENT,0.33
HDFCLIFE,ADANIENT,0.21
HEROMOTOCO,ADANIENT,0.21
HINDALCO,ADANIENT,0.31
HINDUNILVR,ADANIENT,-0.01
ICICIBANK,ADANIENT,0.39
INDUSINDBK,ADANIENT,0.4
INFY,ADANIENT,0.09
ITC,ADANIENT,0.25
JSWSTEEL,ADANIENT,0.4
KOTAKBANK,ADANIENT,0.23
LT,ADANIENT,0.48
M&M,ADANIENT,0.31
MARUTI,ADANIENT,0.32
NESTLEIND,ADANIENT,0.1
NTPC,ADANIENT,0.55
ONGC,ADANIENT,0.49
POWERGRID,ADANIENT,0.4
RELIANCE,ADANIENT,0.49
SBILIFE,ADANIENT,0.29
SBIN,ADANIENT,0.55
SHRIRAMFIN,ADANIENT,0.42
SUNPHARMA,ADANIENT,0.18
TATACONSUM,ADANIENT,0.21
TATAMOTORS,ADANIENT,0.33
TATASTEEL,ADANIENT,0.43
TCS,ADANIENT,0.1
TECHM,ADANIENT,0.13
TITAN,ADANIENT,0.28
TRENT,ADANIENT,0.2
ULTRACEMCO,ADANIENT,0.37
WIPRO,ADANIENT,0.22
ADANIENT,ADANIPORTS,0.88
ADANIPORTS,ADANIPORTS,1.0
APOLLOHOSP,ADANIPORTS,0.16
ASIANPAINT,ADANIPORTS,0.27
AXISBANK,ADANIPORTS,0.38
BAJAJ-AUTO,ADANIPORTS,0.21
BAJAJFINSV,ADANIPORTS,0.41
BAJFINANCE,ADANIPORTS,0.4
BEL,ADANIPORTS,0.58
BHARTIARTL,ADANIPORTS,0.31
BPCL,ADANIPORTS,0.5
BRITANNIA,ADANIPORTS,0.13
CIPLA,ADANIPORTS,0.09
COALINDIA,ADANIPORTS,0.55
DRREDDY,ADANIPORTS,0.18
EICHERMOT,ADANIPORTS,0.27
GRASIM,ADANIPORTS,0.35
HCLTECH,ADANIPORTS,0.15
HDFCBANK,ADANIPORTS,0.37
HDFCLIFE,ADANIPORTS,0.23
HEROMOTOCO,ADANIPORTS,0.2
HINDALCO,ADANIPORTS,0.33
HINDUNILVR,ADANIPORTS,0.0
ICICIBANK,ADANIPORTS,0.44
INDUSINDBK,ADANIPORTS,0.43
INFY,ADANIPORTS,0.14
ITC,ADANIPORTS,0.27
JSWSTEEL,ADANIPORTS,0.43
KOTAKBANK,ADANIPORTS,0.29
LT,ADANIPORTS,0.52
M&M,ADANIPORTS,0.32
MARUTI,ADANIPORTS,0.3
NESTLEIND,ADANIPORTS,0.09
NTPC,ADANIPORTS,0.61
ONGC,ADANIPORTS,0.53
POWERGRID,ADANIPORTS,0.51
RELIANCE,ADANIPORTS,0.52
SBILIFE,ADANIPORTS,0.28
SBIN,ADANIPORTS,0.58
SHRIRAMFIN,ADANIPORTS,0.47
SUNPHARMA,ADANIPORTS,0.22
TATACONSUM,ADANIPORTS,0.22
TATAMOTORS,ADANIPORTS,0.34
TATASTEEL,ADANIPORTS,0.46
TCS,ADANIPORTS,0.13
TECHM,ADANIPORTS,0.14
TITAN,ADANIPORTS,0.29
TRENT,ADANIPORTS,0.2
ULTRACEMCO,ADANIPORTS,0.41
WIPRO,ADANIPORTS,0.23
ADANIENT,APOLLOHOSP,0.13
ADANIPORTS,APOLLOHOSP,0.16
APOLLOHOSP,APOLLOHOSP,1.0
ASIANPAINT,APOLLOHOSP,0.25
AXISBANK,APOLLOHOSP,0.17
BAJAJ-AUTO,APOLLOHOSP,0.22
BAJAJFINSV,APOLLOHOSP,0.24
BAJFINANCE,APOLLOHOSP,0.2
BEL,APOLLOHOSP,0.21
BHARTIARTL,APOLLOHOSP,0.22
BPCL,APOLLOHOSP,0.17
BRITANNIA,APOLLOHOSP,0.23
CIPLA,APOLLOHOSP,0.22
COALINDIA,APOLLOHOSP,0.25
DRREDDY,APOLLOHOSP,0.24
EICHERMOT,APOLLOHOSP,0.28
GRASIM,APOLLOHOSP,0.25
HCLTECH,APOLLOHOSP,0.27
HDFCBANK,APOLLOHOSP,0.1
